Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,1/3,A-xAG,Ast,Att,Att.1,Att.2,Att.3,Cmp,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp.1,Cmp.2,Cmp.3,CrsPA,KP,PPA,PrgDist,PrgP,TotDist,xA,xAG,Att 3rd,Att Pen,CPA,Carries,Def 3rd,Def Pen,Dis,Live,Mid 3rd,Mis,PrgC,PrgR,Rec,Succ,Succ%,Tkld,Tkld%,Touches,Blocks,Clr,Err,Int,Lost,Pass,Tkl,Tkl%,Tkl+Int,Tkl.1,TklW,Club
Aymeric Laporte,es ESP,DF,29.0,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,10.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,0.0,0.0,0,11.0,4.0,7.0,0.0,11.0,100.0,100.0,100.0,,4.0,7.0,0.0,0.0,0.0,0.0,48.0,0.0,202.0,0.0,0.0,1.0,1.0,0.0,10.0,7.0,2.0,0.0,14.0,6.0,0.0,0.0,0.0,10.0,0.0,,0.0,,14.0,1.0,1.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,Manchester City
Bernardo Silva,pt POR,"MF,FW",28.0,28.6,6,34,15,44.1,1.19,0.52,0.18,0.4,15.9,0.0,0,0,3.7,3.7,0.11,2.3,2.3,Matches,100.0,1.4,9,1936.0,1052.0,620.0,158.0,1671.0,86.3,94.4,86.1,67.1,993.0,534.0,106.0,10.0,64.0,49.0,5246.0,177.0,25138.0,8.0,7.6,1055.0,146.0,37.0,1500.0,245.0,39.0,34.0,2194.0,905.0,43.0,140.0,260.0,1757.0,38.0,62.3,21.0,34.4,2194.0,32.0,15.0,1.0,17,32.0,28.0,51.0,43.9,68.0,25.0,23,Manchester City
Cole Palmer,eng ENG,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,0.0,0.0,0,5.0,2.0,3.0,0.0,4.0,80.0,100.0,66.7,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,6.0,0.0,,0.0,,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,Manchester City
Erling Haaland,no NOR,FW,23.0,28.4,27,113,50,44.2,3.99,1.76,0.18,0.4,11.9,1.0,7,8,29.2,22.9,0.2,-2.2,-2.9,Matches,16.0,0.7,5,388.0,242.0,70.0,8.0,295.0,76.0,81.4,80.0,62.5,197.0,56.0,5.0,0.0,29.0,11.0,567.0,26.0,3234.0,2.2,4.3,398.0,183.0,22.0,357.0,36.0,15.0,19.0,628.0,206.0,41.0,35.0,126.0,489.0,12.0,40.0,16.0,53.3,636.0,11.0,16.0,0.0,2,1.0,10.0,6.0,66.7,8.0,2.0,3,Manchester City
Jack Grealish,eng ENG,"FW,MF",27.0,11.2,3,22,5,22.7,1.96,0.45,0.14,0.6,16.1,0.0,0,0,2.1,2.1,0.09,0.9,0.9,Matches,15.0,-1.5,1,580.0,329.0,174.0,32.0,499.0,86.0,91.8,89.7,71.9,302.0,156.0,23.0,0.0,26.0,25.0,1069.0,50.0,7032.0,2.8,2.5,443.0,82.0,50.0,522.0,53.0,7.0,22.0,697.0,206.0,19.0,87.0,146.0,578.0,18.0,43.9,11.0,26.8,697.0,13.0,5.0,0.0,6,6.0,11.0,13.0,50.0,19.0,6.0,8,Manchester City
James Mcatee,eng ENG,MF,20.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,,0.0,0.0,0,Manchester City
Jeremy Doku,be BEL,"FW,MF",21.0,17.7,3,55,19,34.5,3.1,1.07,0.05,0.16,16.4,0.0,0,0,2.5,2.5,0.05,0.5,0.5,Matches,14.0,3.4,8,852.0,507.0,254.0,33.0,693.0,81.3,89.2,78.0,78.8,452.0,198.0,26.0,7.0,45.0,40.0,1538.0,57.0,9699.0,5.9,4.6,825.0,226.0,147.0,879.0,76.0,5.0,37.0,1161.0,275.0,52.0,218.0,295.0,937.0,87.0,51.5,64.0,37.9,1161.0,14.0,5.0,0.0,9,11.0,14.0,39.0,45.0,48.0,9.0,22,Manchester City
John Stones,eng ENG,"DF,MF",29.0,11.8,1,4,2,50.0,0.34,0.17,0.25,0.5,15.9,0.0,0,0,1.0,1.0,0.26,0.0,0.0,Matches,53.0,-0.2,0,839.0,426.0,335.0,54.0,781.0,93.1,94.4,96.1,75.9,402.0,322.0,41.0,0.0,6.0,1.0,2872.0,57.0,12375.0,0.4,0.2,189.0,10.0,1.0,596.0,239.0,54.0,6.0,907.0,484.0,5.0,16.0,24.0,742.0,1.0,16.7,4.0,66.7,907.0,11.0,21.0,0.0,10,3.0,4.0,2.0,0.0,12.0,0.0,1,Manchester City
Joško Gvardiol,hr CRO,DF,21.0,25.9,4,32,13,40.6,1.24,0.5,0.13,0.31,15.6,0.0,0,0,3.1,3.1,0.1,0.9,0.9,Matches,141.0,-0.4,1,1919.0,1010.0,695.0,107.0,1671.0,87.1,92.2,88.9,72.0,931.0,618.0,77.0,3.0,18.0,16.0,6169.0,136.0,25207.0,2.1,1.4,622.0,60.0,15.0,1285.0,452.0,67.0,14.0,2179.0,1124.0,23.0,63.0,115.0,1529.0,26.0,57.8,14.0,31.1,2179.0,36.0,37.0,3.0,27,17.0,24.0,55.0,55.3,82.0,21.0,33,Manchester City
Julián Álvarez,ar ARG,"MF,FW",23.0,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13.0,2,2,13.0,11.5,0.12,-2.0,-2.5,Matches,43.0,1.6,8,1258.0,679.0,328.0,145.0,1011.0,80.4,90.6,82.9,40.0,615.0,272.0,58.0,4.0,67.0,41.0,2992.0,103.0,13977.0,6.3,6.4,988.0,149.0,28.0,914.0,107.0,20.0,36.0,1552.0,473.0,56.0,64.0,180.0,1103.0,20.0,47.6,22.0,52.4,1554.0,30.0,14.0,1.0,2,24.0,30.0,24.0,25.0,26.0,8.0,13,Manchester City
Kalvin Phillips,eng ENG,MF,27.0,1.0,0,2,0,0.0,1.94,0.0,0.0,,21.7,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,8.0,0.0,0,70.0,32.0,26.0,10.0,62.0,88.6,96.9,92.3,70.0,31.0,24.0,7.0,1.0,0.0,1.0,300.0,7.0,1067.0,0.1,0.0,23.0,1.0,1.0,51.0,14.0,3.0,2.0,87.0,52.0,4.0,7.0,3.0,57.0,1.0,33.3,2.0,66.7,87.0,0.0,2.0,0.0,2,0.0,0.0,3.0,,5.0,0.0,3,Manchester City
Kevin De Bruyne,be BEL,MF,32.0,13.6,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6.0,0,0,2.4,2.4,0.05,1.6,1.6,Matches,67.0,-1.5,10,971.0,481.0,293.0,134.0,732.0,75.4,88.6,76.1,49.3,426.0,223.0,66.0,12.0,59.0,56.0,3364.0,111.0,11555.0,7.1,11.5,724.0,86.0,12.0,633.0,35.0,2.0,20.0,1103.0,354.0,13.0,47.0,133.0,833.0,10.0,30.3,21.0,63.6,1103.0,5.0,4.0,0.0,4,13.0,5.0,14.0,35.0,18.0,7.0,9,Manchester City
Kyle Walker,eng ENG,DF,33.0,30.7,0,16,3,18.8,0.52,0.1,0.0,0.0,29.4,1.0,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches,199.0,1.4,4,2404.0,1057.0,1020.0,246.0,2128.0,88.5,93.9,91.4,67.5,992.0,932.0,166.0,13.0,25.0,32.0,8306.0,157.0,36091.0,3.2,2.6,749.0,41.0,7.0,1509.0,526.0,77.0,13.0,2613.0,1358.0,24.0,74.0,172.0,1925.0,21.0,60.0,11.0,31.4,2613.0,19.0,40.0,1.0,27,20.0,13.0,38.0,48.7,65.0,19.0,24,Manchester City
Manuel Akanji,ch SUI,"DF,MF",28.0,27.9,2,15,5,33.3,0.54,0.18,0.13,0.4,17.0,0.0,0,0,1.9,1.9,0.13,0.1,0.1,Matches,214.0,-0.5,0,2334.0,1136.0,975.0,163.0,2180.0,93.4,96.0,94.7,77.3,1091.0,923.0,126.0,2.0,13.0,15.0,9787.0,148.0,35688.0,1.8,0.5,392.0,27.0,3.0,1639.0,779.0,163.0,9.0,2544.0,1385.0,14.0,46.0,36.0,1983.0,2.0,50.0,2.0,50.0,2544.0,28.0,70.0,3.0,23,17.0,16.0,42.0,56.4,65.0,22.0,28,Manchester City
Mateo Kovačić,hr CRO,MF,29.0,17.2,1,22,5,22.7,1.28,0.29,0.05,0.2,20.8,0.0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,120.0,-1.6,0,1527.0,862.0,544.0,57.0,1435.0,94.0,96.9,94.5,71.9,835.0,514.0,41.0,0.0,21.0,15.0,4603.0,100.0,20506.0,1.9,1.6,395.0,16.0,1.0,1141.0,226.0,33.0,24.0,1689.0,1079.0,16.0,37.0,38.0,1431.0,20.0,62.5,7.0,21.9,1689.0,23.0,10.0,0.0,10,10.0,22.0,36.0,64.3,46.0,18.0,25,Manchester City
Matheus Nunes,pt POR,MF,24.0,7.3,0,9,4,44.4,1.23,0.54,0.0,0.0,17.9,0.0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches,23.0,0.9,2,443.0,255.0,133.0,23.0,373.0,84.2,91.4,86.5,47.8,233.0,115.0,11.0,2.0,9.0,16.0,783.0,34.0,5054.0,1.5,1.1,243.0,36.0,10.0,347.0,59.0,13.0,12.0,529.0,234.0,19.0,28.0,58.0,438.0,9.0,39.1,13.0,56.5,529.0,7.0,8.0,1.0,1,11.0,6.0,10.0,31.3,11.0,5.0,4,Manchester City
Nathan Aké,nl NED,DF,28.0,22.7,2,20,5,25.0,0.88,0.22,0.1,0.4,10.8,0.0,0,0,2.5,2.5,0.12,-0.5,-0.5,Matches,148.0,0.8,2,1864.0,921.0,796.0,85.0,1716.0,92.1,95.8,94.2,50.6,882.0,750.0,43.0,1.0,10.0,5.0,8717.0,116.0,26189.0,1.1,1.2,281.0,38.0,1.0,1280.0,634.0,105.0,2.0,2026.0,1116.0,8.0,24.0,18.0,1507.0,5.0,50.0,3.0,30.0,2026.0,17.0,54.0,0.0,14,7.0,15.0,26.0,65.0,40.0,13.0,16,Manchester City
Oscar Bobb,no NOR,"FW,MF",20.0,3.4,1,4,1,25.0,1.19,0.3,0.25,1.0,11.1,0.0,0,0,1.4,1.4,0.35,-0.4,-0.4,Matches,3.0,-0.2,1,177.0,107.0,51.0,4.0,155.0,87.6,94.4,86.3,100.0,101.0,44.0,4.0,1.0,9.0,19.0,478.0,25.0,2056.0,1.3,1.2,173.0,27.0,5.0,139.0,13.0,4.0,6.0,219.0,36.0,6.0,13.0,38.0,159.0,11.0,61.1,6.0,33.3,219.0,4.0,1.0,0.0,5,2.0,4.0,7.0,50.0,12.0,2.0,3,Manchester City
Phil Foden,eng ENG,"FW,MF",23.0,31.7,19,105,48,45.7,3.31,1.51,0.18,0.4,18.5,4.0,0,0,10.3,10.3,0.1,8.7,8.7,Matches,71.0,-0.4,8,1767.0,1053.0,449.0,135.0,1511.0,85.5,94.0,86.4,50.4,990.0,388.0,68.0,5.0,73.0,57.0,3769.0,168.0,20347.0,6.9,8.4,1211.0,190.0,56.0,1435.0,174.0,22.0,49.0,2146.0,785.0,62.0,93.0,269.0,1753.0,47.0,46.1,46.0,45.1,2146.0,30.0,18.0,1.0,13,18.0,30.0,31.0,41.9,44.0,13.0,20,Manchester City
Rico Lewis,eng ENG,"DF,MF",18.0,9.0,2,5,4,80.0,0.56,0.44,0.4,0.5,15.5,0.0,0,0,0.6,0.6,0.13,1.4,1.4,Matches,29.0,-1.1,0,568.0,351.0,170.0,20.0,518.0,91.2,96.6,93.5,60.0,339.0,159.0,12.0,0.0,13.0,9.0,1127.0,33.0,7100.0,1.2,1.1,220.0,30.0,5.0,380.0,119.0,8.0,12.0,620.0,287.0,2.0,21.0,46.0,486.0,4.0,44.4,4.0,44.4,620.0,7.0,6.0,0.0,4,4.0,6.0,10.0,42.9,14.0,3.0,7,Manchester City
Rodri,es ESP,MF,27.0,32.6,8,62,22,35.5,1.9,0.68,0.13,0.36,20.6,0.0,0,0,4.1,4.1,0.07,3.9,3.9,Matches,378.0,5.1,9,3656.0,1774.0,1360.0,401.0,3365.0,92.0,94.5,93.6,84.8,1676.0,1273.0,340.0,0.0,49.0,61.0,15766.0,376.0,57256.0,6.1,3.9,1013.0,80.0,12.0,2513.0,664.0,114.0,32.0,3988.0,2337.0,23.0,76.0,55.0,3242.0,42.0,65.6,14.0,21.9,3988.0,32.0,41.0,4.0,26,31.0,24.0,70.0,48.3,96.0,29.0,43,Manchester City
Rúben Dias,pt POR,DF,26.0,28.4,0,20,8,40.0,0.7,0.28,0.0,0.0,15.2,0.0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches,220.0,-0.3,0,2635.0,1076.0,1306.0,204.0,2469.0,93.7,96.6,96.2,71.6,1039.0,1256.0,146.0,3.0,7.0,12.0,13568.0,173.0,42764.0,1.9,0.3,282.0,34.0,1.0,1996.0,1002.0,231.0,7.0,2877.0,1600.0,10.0,34.0,16.0,2301.0,0.0,0.0,1.0,100.0,2877.0,32.0,77.0,0.0,30,7.0,15.0,39.0,73.1,69.0,19.0,20,Manchester City
Sergio Gómez,es ESP,"FW,MF",22.0,0.6,0,2,0,0.0,3.4,0.0,0.0,,15.4,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,1.0,0.8,1,54.0,31.0,17.0,2.0,46.0,85.2,93.5,88.2,50.0,29.0,15.0,1.0,1.0,1.0,2.0,97.0,2.0,636.0,0.2,0.2,30.0,3.0,1.0,38.0,10.0,0.0,0.0,59.0,19.0,0.0,4.0,4.0,48.0,2.0,100.0,0.0,0.0,59.0,0.0,0.0,0.0,1,1.0,0.0,1.0,50.0,2.0,1.0,0,Manchester City
Ben White,eng ENG,DF,25.0,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0.0,0,0,1.2,1.2,0.09,2.8,2.8,Matches,172.0,0.2,4,2177.0,1099.0,832.0,171.0,1828.0,84.0,90.9,85.7,49.7,999.0,713.0,85.0,10.0,38.0,45.0,9801.0,192.0,28002.0,3.7,3.8,676.0,64.0,9.0,1321.0,633.0,120.0,9.0,2456.0,1165.0,26.0,44.0,162.0,1675.0,9.0,40.9,12.0,54.5,2456.0,48.0,77.0,1.0,32,32.0,26.0,48.0,44.8,80.0,26.0,28,Arsenal
Bukayo Saka,eng ENG,FW,21.0,32.4,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0.0,6,6,15.5,10.8,0.11,0.5,-0.8,Matches,39.0,-1.5,9,1512.0,793.0,427.0,183.0,1143.0,75.6,88.9,77.5,43.7,705.0,331.0,80.0,12.0,91.0,73.0,4402.0,126.0,16891.0,11.0,10.5,1310.0,271.0,72.0,1223.0,182.0,37.0,53.0,1946.0,474.0,56.0,155.0,508.0,1393.0,49.0,40.2,54.0,44.3,1952.0,43.0,24.0,1.0,15,33.0,41.0,66.0,44.1,81.0,26.0,35,Arsenal
Cédric Soares,pt POR,DF,31.0,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,4.0,0.0,0,69.0,41.0,17.0,8.0,60.0,87.0,95.1,88.2,62.5,39.0,15.0,5.0,0.0,0.0,0.0,157.0,3.0,905.0,0.0,0.0,12.0,0.0,0.0,37.0,10.0,0.0,0.0,69.0,47.0,0.0,0.0,6.0,56.0,0.0,,0.0,,69.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,Arsenal
Declan Rice,eng ENG,MF,24.0,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2.0,0,0,3.3,3.3,0.06,3.7,3.7,Matches,240.0,2.7,8,2295.0,1031.0,975.0,210.0,2041.0,88.9,92.9,93.3,65.2,958.0,910.0,137.0,2.0,47.0,39.0,9378.0,278.0,34242.0,4.8,5.3,696.0,67.0,16.0,1675.0,581.0,100.0,22.0,2650.0,1398.0,31.0,75.0,64.0,1928.0,21.0,45.7,20.0,43.5,2650.0,37.0,52.0,0.0,44,25.0,26.0,83.0,56.1,127.0,32.0,51,Arsenal
Eddie Nketiah,eng ENG,FW,24.0,12.0,5,38,12,31.6,3.16,1.0,0.13,0.42,12.7,0.0,0,0,4.5,4.5,0.12,0.5,0.5,Matches,7.0,1.2,2,215.0,118.0,72.0,4.0,168.0,78.1,83.1,83.3,75.0,98.0,60.0,3.0,0.0,9.0,5.0,267.0,20.0,2332.0,0.7,0.8,207.0,75.0,11.0,236.0,18.0,5.0,18.0,371.0,148.0,38.0,22.0,77.0,275.0,8.0,26.7,15.0,50.0,371.0,11.0,4.0,0.0,4,5.0,11.0,12.0,28.6,16.0,2.0,7,Arsenal
Emile Smith Rowe,eng ENG,MF,23.0,3.9,0,15,5,33.3,3.82,1.27,0.0,0.0,15.6,0.0,0,0,2.0,2.0,0.13,-2.0,-2.0,Matches,13.0,0.8,1,213.0,143.0,57.0,4.0,188.0,88.3,89.5,94.7,25.0,128.0,54.0,1.0,0.0,4.0,11.0,496.0,23.0,2449.0,0.4,0.2,127.0,19.0,1.0,154.0,21.0,1.0,4.0,253.0,106.0,6.0,11.0,18.0,189.0,3.0,42.9,3.0,42.9,253.0,3.0,1.0,0.0,3,2.0,2.0,4.0,50.0,7.0,2.0,1,Arsenal
Ethan Nwaneri,eng ENG,FW,16.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,1.0,0.0,0,18.0,13.0,5.0,0.0,15.0,83.3,76.9,100.0,,10.0,5.0,0.0,0.0,1.0,2.0,56.0,2.0,209.0,0.0,0.0,11.0,2.0,0.0,16.0,0.0,0.0,0.0,20.0,9.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0,0.0,1.0,0.0,,0.0,0.0,0,Arsenal
Fabio Vieira,pt POR,"MF,FW",23.0,3.3,1,6,1,16.7,1.82,0.3,0.0,0.0,18.0,0.0,1,1,1.3,0.5,0.08,-0.3,-0.5,Matches,12.0,0.4,2,150.0,75.0,53.0,17.0,122.0,81.3,89.3,83.0,52.9,67.0,44.0,9.0,1.0,5.0,6.0,421.0,15.0,1969.0,0.8,1.6,97.0,20.0,6.0,111.0,14.0,2.0,5.0,183.0,76.0,7.0,12.0,30.0,141.0,2.0,22.2,6.0,66.7,184.0,0.0,2.0,0.0,2,0.0,0.0,3.0,100.0,5.0,3.0,2,Arsenal
Gabriel Jesus,br BRA,FW,26.0,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0.0,0,0,6.3,6.3,0.12,-2.3,-2.3,Matches,18.0,1.2,5,513.0,306.0,140.0,16.0,403.0,78.6,84.6,79.3,62.5,259.0,111.0,10.0,1.0,29.0,19.0,971.0,42.0,5315.0,3.2,3.8,472.0,139.0,25.0,489.0,75.0,16.0,38.0,782.0,247.0,61.0,38.0,155.0,567.0,35.0,46.7,30.0,40.0,782.0,23.0,12.0,0.0,13,13.0,22.0,24.0,27.8,37.0,5.0,17,Arsenal
Gabriel Magalhães,br BRA,DF,25.0,33.8,4,31,10,32.3,0.92,0.3,0.13,0.4,7.9,0.0,0,0,4.3,4.3,0.14,-0.3,-0.3,Matches,143.0,-0.7,0,2157.0,885.0,1013.0,199.0,1914.0,88.7,95.0,93.0,54.3,841.0,942.0,108.0,1.0,3.0,9.0,10388.0,117.0,32123.0,0.7,0.7,234.0,42.0,1.0,1447.0,1049.0,321.0,3.0,2447.0,1176.0,12.0,13.0,8.0,1702.0,2.0,40.0,2.0,40.0,2447.0,44.0,100.0,1.0,31,5.0,11.0,48.0,77.3,79.0,17.0,28,Arsenal
Gabriel Martinelli,br BRA,FW,22.0,22.4,6,58,20,34.5,2.59,0.89,0.1,0.3,15.6,0.0,0,0,6.8,6.8,0.12,-0.8,-0.8,Matches,22.0,-2.1,4,929.0,490.0,292.0,85.0,724.0,77.9,86.5,81.2,55.3,424.0,237.0,47.0,7.0,46.0,33.0,2008.0,65.0,11003.0,5.2,6.1,844.0,196.0,82.0,856.0,96.0,12.0,41.0,1241.0,315.0,54.0,127.0,345.0,956.0,40.0,35.1,61.0,53.5,1241.0,23.0,9.0,1.0,5,19.0,22.0,30.0,40.6,35.0,13.0,24,Arsenal
Jakub Kiwior,pl POL,DF,23.0,10.5,1,6,2,33.3,0.57,0.19,0.17,0.5,13.8,0.0,0,0,0.8,0.8,0.14,0.2,0.2,Matches,43.0,2.1,3,625.0,303.0,249.0,58.0,523.0,83.7,89.1,85.9,58.6,270.0,214.0,34.0,3.0,6.0,8.0,3042.0,55.0,8555.0,0.6,0.9,167.0,15.0,1.0,362.0,189.0,25.0,2.0,716.0,367.0,8.0,4.0,16.0,462.0,2.0,66.7,1.0,33.3,716.0,11.0,28.0,1.0,8,5.0,8.0,20.0,73.7,28.0,14.0,12,Arsenal
Jorginho,it ITA,MF,31.0,10.2,0,4,0,0.0,0.39,0.0,0.0,,24.6,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,81.0,0.6,2,785.0,380.0,310.0,59.0,699.0,89.0,94.7,90.3,76.3,360.0,280.0,45.0,1.0,10.0,25.0,3439.0,101.0,11386.0,2.1,1.4,239.0,5.0,0.0,521.0,154.0,25.0,4.0,871.0,479.0,5.0,8.0,8.0,671.0,2.0,40.0,3.0,60.0,871.0,17.0,7.0,1.0,12,12.0,16.0,24.0,47.8,36.0,11.0,10,Arsenal
Jurriën Timber,nl NED,DF,22.0,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,11.0,0.0,0,74.0,36.0,33.0,2.0,66.0,89.2,97.2,90.9,50.0,35.0,30.0,1.0,0.0,0.0,0.0,221.0,8.0,982.0,0.0,0.0,17.0,1.0,0.0,61.0,11.0,0.0,1.0,79.0,51.0,0.0,0.0,5.0,61.0,1.0,100.0,0.0,0.0,79.0,1.0,1.0,0.0,0,0.0,1.0,2.0,,2.0,0.0,2,Arsenal
Kai Havertz,de GER,"MF,FW",24.0,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0.0,1,1,12.3,11.6,0.17,0.7,0.4,Matches,65.0,2.6,7,955.0,609.0,245.0,15.0,764.0,80.0,86.2,79.6,46.7,525.0,195.0,7.0,1.0,46.0,29.0,2405.0,99.0,9583.0,4.3,4.4,611.0,184.0,23.0,686.0,143.0,29.0,35.0,1281.0,541.0,54.0,55.0,191.0,918.0,16.0,38.1,19.0,45.2,1282.0,26.0,22.0,0.0,20,25.0,25.0,35.0,35.9,55.0,14.0,15,Arsenal
Leandro Trossard,be BEL,"FW,MF",28.0,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0.0,0,0,7.9,7.9,0.13,4.1,4.1,Matches,28.0,-1.8,1,673.0,315.0,241.0,60.0,494.0,73.4,86.0,75.1,51.7,271.0,181.0,31.0,4.0,24.0,29.0,1927.0,76.0,7666.0,3.2,2.8,502.0,121.0,27.0,591.0,105.0,15.0,39.0,912.0,318.0,47.0,66.0,155.0,650.0,25.0,53.2,16.0,34.0,912.0,27.0,6.0,0.0,8,16.0,26.0,27.0,36.0,35.0,9.0,16,Arsenal
Martin Ødegaard,no NOR,MF,24.0,34.3,8,75,21,28.0,2.18,0.61,0.08,0.29,20.2,4.0,2,2,7.4,5.8,0.08,0.6,0.2,Matches,160.0,0.4,10,2006.0,992.0,744.0,140.0,1692.0,84.3,91.4,85.3,65.0,907.0,635.0,91.0,13.0,102.0,130.0,7898.0,344.0,25780.0,11.2,9.6,1173.0,165.0,37.0,1563.0,244.0,24.0,58.0,2324.0,926.0,53.0,91.0,202.0,1827.0,37.0,45.7,38.0,46.9,2326.0,23.0,5.0,0.0,15,41.0,22.0,49.0,29.3,64.0,17.0,17,Arsenal
Mohamed Elneny,eg EGY,MF,31.0,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,25.8,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2.0,0.0,0,40.0,19.0,21.0,0.0,39.0,97.5,94.7,100.0,,18.0,21.0,0.0,0.0,0.0,0.0,147.0,1.0,624.0,0.0,0.0,6.0,1.0,0.0,27.0,9.0,1.0,0.0,45.0,30.0,1.0,1.0,0.0,37.0,0.0,,0.0,,45.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26.0,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,24.0,0.0,0,0,0.6,0.6,0.03,0.4,0.4,Matches,154.0,-0.5,2,1568.0,706.0,667.0,134.0,1374.0,87.6,92.5,90.1,70.9,653.0,601.0,95.0,4.0,29.0,49.0,6928.0,229.0,23132.0,2.9,2.5,519.0,28.0,7.0,1013.0,335.0,46.0,15.0,1729.0,885.0,10.0,40.0,58.0,1178.0,7.0,50.0,5.0,35.7,1729.0,18.0,26.0,2.0,20,17.0,15.0,50.0,67.3,70.0,35.0,30,Arsenal
Reiss Nelson,eng ENG,FW,23.0,3.0,0,4,1,25.0,1.34,0.34,0.0,0.0,19.7,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,1.0,-0.6,0,144.0,83.0,36.0,12.0,127.0,88.2,96.4,86.1,50.0,80.0,31.0,6.0,2.0,5.0,6.0,298.0,5.0,1674.0,0.4,0.6,96.0,13.0,4.0,129.0,30.0,8.0,4.0,188.0,67.0,11.0,9.0,26.0,128.0,1.0,14.3,6.0,85.7,188.0,5.0,5.0,0.0,1,2.0,4.0,9.0,80.0,10.0,8.0,6,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24.0,12.8,2,17,3,17.6,1.33,0.23,0.12,0.67,14.9,0.0,0,0,1.5,1.5,0.09,0.5,0.5,Matches,60.0,0.6,1,697.0,342.0,267.0,56.0,574.0,82.4,89.5,85.8,48.2,306.0,229.0,27.0,3.0,6.0,10.0,2520.0,72.0,8941.0,0.8,0.4,248.0,31.0,3.0,469.0,192.0,37.0,3.0,824.0,389.0,13.0,17.0,37.0,520.0,4.0,33.3,7.0,58.3,824.0,10.0,33.0,0.0,18,7.0,6.0,20.0,61.1,38.0,11.0,9,Arsenal
Thomas Partey,gh GHA,"MF,DF",30.0,8.8,0,8,2,25.0,0.91,0.23,0.0,0.0,20.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,61.0,-0.3,0,636.0,321.0,243.0,54.0,570.0,89.6,92.8,92.2,68.5,298.0,224.0,37.0,2.0,6.0,14.0,2564.0,72.0,9177.0,0.6,0.3,154.0,6.0,1.0,453.0,138.0,23.0,8.0,707.0,423.0,8.0,15.0,10.0,528.0,9.0,69.2,2.0,15.4,707.0,9.0,9.0,0.0,11,5.0,6.0,14.0,50.0,25.0,5.0,11,Arsenal
