Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,1/3,A-xAG,Ast,Att,Att.1,Att.2,Att.3,Cmp,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp.1,Cmp.2,Cmp.3,CrsPA,KP,PPA,PrgDist,PrgP,TotDist,xA,xAG,Att 3rd,Att Pen,CPA,Carries,Def 3rd,Def Pen,Dis,Live,Mid 3rd,Mis,PrgC,PrgR,Rec,Succ,Succ%,Tkld,Tkld%,Touches,Blocks,Clr,Err,Int,Lost,Pass,Tkl,Tkl%,Tkl+Int,Tkl.1,TklW,Club
Arthur,br BRA,DF,20.0,2.0,0,2,1,50.0,0.98,0.49,0.0,0.0,21.2,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2.0,1.7,2,109.0,58.0,39.0,8.0,88.0,80.7,91.4,71.8,75.0,53.0,28.0,6.0,5.0,5.0,6.0,367.0,7.0,1360.0,0.4,0.3,56.0,8.0,2.0,79.0,35.0,7.0,3.0,131.0,42.0,2.0,8.0,28.0,88.0,2.0,40.0,3.0,60.0,131.0,1.0,7.0,0.0,0,0.0,0.0,4.0,100.0,4.0,2.0,3,Leverkusen
Borja Iglesias,es ESP,FW,30.0,2.8,0,8,3,37.5,2.81,1.05,0.0,0.0,15.2,0.0,0,0,1.4,1.4,0.17,-1.4,-1.4,Matches,3.0,-0.3,0,75.0,42.0,20.0,1.0,58.0,77.3,78.6,95.0,100.0,33.0,19.0,1.0,0.0,3.0,3.0,113.0,5.0,752.0,0.4,0.3,66.0,19.0,3.0,62.0,2.0,1.0,6.0,96.0,28.0,5.0,3.0,19.0,82.0,0.0,0.0,1.0,100.0,96.0,2.0,1.0,0.0,1,1.0,2.0,1.0,0.0,2.0,0.0,0,Leverkusen
Edmond Tapsoba,bf BFA,DF,24.0,23.2,0,12,1,8.3,0.52,0.04,0.0,0.0,16.3,0.0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,193.0,0.0,1,1973.0,930.0,813.0,167.0,1795.0,91.0,94.4,93.2,70.7,878.0,758.0,118.0,0.0,9.0,8.0,12526.0,164.0,29578.0,1.4,1.0,177.0,23.0,1.0,1495.0,709.0,157.0,7.0,2156.0,1290.0,13.0,49.0,12.0,1599.0,13.0,76.5,3.0,17.6,2156.0,21.0,52.0,3.0,24,7.0,11.0,34.0,70.8,58.0,17.0,25,Leverkusen
Exequiel Palacios,ar ARG,MF,24.0,20.3,4,19,4,21.1,0.93,0.2,0.11,0.5,23.2,0.0,2,2,3.3,1.8,0.09,0.7,0.2,Matches,186.0,0.2,4,2023.0,1217.0,601.0,103.0,1856.0,91.7,94.7,93.2,77.7,1153.0,560.0,80.0,2.0,27.0,31.0,8146.0,162.0,26250.0,4.1,3.8,439.0,21.0,2.0,1296.0,341.0,36.0,13.0,2220.0,1461.0,22.0,24.0,45.0,1802.0,23.0,88.5,3.0,11.5,2222.0,24.0,20.0,2.0,29,27.0,24.0,60.0,49.1,89.0,26.0,34,Leverkusen
Florian Wirtz,de GER,MF,20.0,26.4,11,70,33,47.1,2.66,1.25,0.14,0.3,18.1,1.0,1,1,8.9,8.2,0.12,2.1,1.8,Matches,95.0,3.5,11,1855.0,1124.0,462.0,98.0,1540.0,83.0,89.2,85.5,63.3,1003.0,395.0,62.0,7.0,73.0,82.0,5621.0,224.0,20304.0,9.7,7.5,1229.0,170.0,45.0,1384.0,146.0,7.0,79.0,2251.0,906.0,83.0,138.0,306.0,1815.0,79.0,48.8,74.0,45.7,2252.0,36.0,3.0,0.0,9,20.0,34.0,27.0,31.0,36.0,9.0,18,Leverkusen
Granit Xhaka,ch SUI,MF,30.0,31.3,3,45,14,31.1,1.44,0.45,0.07,0.21,25.5,0.0,0,0,1.8,1.8,0.04,1.2,1.2,Matches,370.0,-2.7,0,3292.0,1777.0,1138.0,258.0,3020.0,91.7,94.6,93.4,80.6,1681.0,1063.0,208.0,0.0,41.0,54.0,13206.0,392.0,47359.0,5.9,2.7,797.0,17.0,4.0,2164.0,485.0,94.0,30.0,3558.0,2291.0,31.0,60.0,53.0,2955.0,16.0,57.1,9.0,32.1,3558.0,29.0,42.0,0.0,19,21.0,21.0,29.0,30.0,48.0,9.0,21,Leverkusen
Gustavo Puerta,co COL,"DF,MF",20.0,0.5,0,2,0,0.0,3.91,0.0,0.0,,24.5,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,4.0,-0.1,0,42.0,21.0,17.0,4.0,39.0,92.9,95.2,94.1,75.0,20.0,16.0,3.0,0.0,1.0,1.0,209.0,8.0,596.0,0.1,0.1,10.0,0.0,0.0,37.0,5.0,2.0,0.0,53.0,38.0,1.0,1.0,1.0,39.0,1.0,100.0,0.0,0.0,53.0,2.0,0.0,0.0,0,1.0,2.0,5.0,50.0,5.0,1.0,3,Leverkusen
Jeremie Frimpong,nl NED,DF,22.0,25.0,9,55,21,38.2,2.2,0.84,0.16,0.43,13.9,0.0,0,0,8.2,8.2,0.15,0.8,0.8,Matches,20.0,1.1,7,1026.0,622.0,279.0,49.0,797.0,77.7,87.0,73.8,59.2,541.0,206.0,29.0,15.0,45.0,36.0,2301.0,49.0,10923.0,5.4,5.9,784.0,205.0,73.0,824.0,158.0,19.0,37.0,1329.0,406.0,51.0,153.0,348.0,941.0,48.0,45.3,48.0,45.3,1329.0,26.0,17.0,0.0,7,12.0,26.0,26.0,40.0,33.0,8.0,17,Leverkusen
Jonas Hofmann,de GER,MF,31.0,24.5,5,60,25,41.7,2.45,1.02,0.08,0.2,18.5,0.0,0,0,5.9,5.9,0.1,-0.9,-0.9,Matches,71.0,-1.1,7,1530.0,795.0,437.0,183.0,1214.0,79.3,88.1,82.6,56.3,700.0,361.0,103.0,5.0,78.0,41.0,4146.0,119.0,18608.0,8.3,8.1,928.0,110.0,13.0,895.0,122.0,3.0,17.0,1718.0,676.0,34.0,63.0,221.0,1353.0,18.0,51.4,17.0,48.6,1718.0,18.0,6.0,0.0,8,14.0,18.0,20.0,41.7,28.0,10.0,14,Leverkusen
Jonathan Tah,de GER,DF,27.0,29.2,4,26,10,38.5,0.89,0.34,0.15,0.4,13.1,0.0,0,0,2.1,2.1,0.08,1.9,1.9,Matches,164.0,0.7,1,2193.0,1077.0,962.0,110.0,2070.0,94.4,97.0,94.4,80.9,1045.0,908.0,89.0,0.0,5.0,1.0,13638.0,133.0,32998.0,0.9,0.3,140.0,34.0,1.0,1557.0,790.0,207.0,5.0,2434.0,1517.0,11.0,17.0,4.0,1812.0,5.0,55.6,4.0,44.4,2434.0,28.0,97.0,1.0,23,11.0,5.0,19.0,31.3,42.0,5.0,9,Leverkusen
